Treatment,EWblock,Aspect,Block,Row,Panel,Vine,Trunk diameter in 2000 (cm),Trunk diameter in 2001 (cm),Trunk diameter in 2002 (cm),Trunk diameter in 2003 (cm)
2,2,1,4,27,21,1,3.12,3.12,3.12,3.12
2,2,1,4,27,21,2,3.46,3.46,3.46,3.46
2,2,1,4,27,21,3,3.31,3.31,3.31,3.31
2,2,1,4,28,21,1,3.16,3.16,3.16,3.16
2,2,1,4,28,21,2,3.39,3.39,3.39,3.39
2,2,1,4,28,21,3,3.28,3.28,3.28,3.28
2,2,1,4,29,21,1,2.8,2.8,2.8,2.8
2,2,1,4,29,21,2,2.75,2.75,2.75,2.75
2,2,1,4,29,21,3,3.09,3.09,3.09,3.09
1,2,1,4,33,24,3,3.39,3.39,3.39,3.39
1,2,1,4,33,25,1,3.1,3.1,3.1,3.1
1,2,1,4,33,25,2,2.66,2.66,2.66,2.66
1,2,1,4,34,25,1,3.21,3.21,3.21,3.21
1,2,1,4,34,25,2,3.05,3.05,3.05,3.05
1,2,1,4,34,25,3,2.65,2.65,2.65,2.65
1,2,1,4,35,24,1,2.89,2.89,2.89,2.89
1,2,1,4,35,24,2,3.03,3.03,3.03,3.03
1,2,1,4,35,24,3,3.08,3.08,3.08,3.08
3,2,1,4,39,25,1,2.78,2.78,2.78,2.78
3,2,1,4,39,25,2,5.04,5.04,5.04,5.04
3,2,1,4,39,25,3,2.49,2.49,2.49,2.49
3,2,1,4,40,25,2,3.27,3.27,3.27,3.27
3,2,1,4,40,25,3,2.67,2.67,2.67,2.67
3,2,1,4,40,25,4,2.47,2.47,2.47,2.47
3,2,1,4,41,23,1,2.52,2.52,2.52,2.52
3,2,1,4,41,23,3,3.39,3.39,3.39,3.39
3,2,1,4,41,24,2,2.19,2.19,2.19,2.19
3,3,2,5,44,11,1,2.84,2.84,2.84,2.84
3,3,2,5,44,11,2,3.75,3.75,3.75,3.75
3,3,2,5,44,11,3,2.83,2.83,2.83,2.83
3,3,2,5,45,11,1,2.62,2.62,2.62,2.62
3,3,2,5,45,11,2,3.16,3.16,3.16,3.16
3,3,2,5,45,11,3,3.26,3.26,3.26,3.26
3,3,2,5,46,10,3,3.13,3.13,3.13,3.13
3,3,2,5,46,11,1,2.55,2.55,2.55,2.55
3,3,2,5,46,11,2,2.85,2.85,2.85,2.85
1,3,2,5,50,12,3,3.03,3.03,3.03,3.03
1,3,2,5,50,13,1,2.79,2.79,2.79,2.79
1,3,2,5,50,14,1,2.87,2.87,2.87,2.87
1,3,2,5,51,13,1,2.46,2.46,2.46,2.46
1,3,2,5,51,13,2,2.19,2.19,2.19,2.19
1,3,2,5,51,13,3,2.5,2.5,2.5,2.5
1,3,2,5,52,14,1,2.73,2.73,2.73,2.73
1,3,2,5,52,14,2,2.84,2.84,2.84,2.84
1,3,2,5,52,14,3,2.35,2.35,2.35,2.35
2,3,2,5,56,10,1,2.33,2.33,2.33,2.33
2,3,2,5,56,10,2,2.46,2.46,2.46,2.46
2,3,2,5,56,10,3,2.85,2.85,2.85,2.85
2,3,2,5,57,10,4,2.88,2.88,2.88,2.88
2,3,2,5,57,10,2,2.54,2.54,2.54,2.54
2,3,2,5,57,10,3,2.05,2.05,2.05,2.05
2,3,2,5,58,10,1,1.99,1.99,1.99,1.99
2,3,2,5,58,10,2,1.79,1.79,1.79,1.79
2,3,2,5,58,10,3,2.13,2.13,2.13,2.13
3,3,1,6,45,25,1,2.41,2.41,2.41,2.41
3,3,1,6,45,25,2,2.26,2.26,2.26,2.26
3,3,1,6,45,25,3,2.19,2.19,2.19,2.19
3,3,1,6,46,26,1,2.86,2.86,2.86,2.86
3,3,1,6,46,26,2,2.19,2.19,2.19,2.19
3,3,1,6,46,26,3,2.66,2.66,2.66,2.66
3,3,1,6,47,26,1,2.4,2.4,2.4,2.4
3,3,1,6,47,26,2,2.52,2.52,2.52,2.52
3,3,1,6,47,26,3,2.67,2.67,2.67,2.67
1,3,1,6,51,25,1,2.92,2.92,2.92,2.92
1,3,1,6,51,25,2,2.98,2.98,2.98,2.98
1,3,1,6,51,25,3,2.13,2.13,2.13,2.13
1,3,1,6,52,27,2,3.31,3.31,3.31,3.31
1,3,1,6,52,27,3,3.1,3.1,3.1,3.1
1,3,1,6,52,27,4,2.72,2.72,2.72,2.72
1,3,1,6,53,25,2,3.88,3.88,3.88,3.88
1,3,1,6,53,25,3,2.24,2.24,2.24,2.24
1,3,1,6,53,26,3,1.66,1.66,1.66,1.66
2,3,1,6,57,20,1,3.79,3.79,3.79,3.79
2,3,1,6,57,20,2,2.9,2.9,2.9,2.9
2,3,1,6,57,20,3,2.53,2.53,2.53,2.53
2,3,1,6,58,19,3,3.22,3.22,3.22,3.22
2,3,1,6,58,20,1,3.14,3.14,3.14,3.14
2,3,1,6,58,20,2,2.77,2.77,2.77,2.77
2,3,1,6,59,19,3,2.88,2.88,2.88,2.88
2,3,1,6,59,20,1,2.6,2.6,2.6,2.6
2,3,1,6,59,20,3,2.76,2.76,2.76,2.76
